"UserID","UserNo","Name","Email","IP Address","Unique ID","Started","Ended","Q1. Overall, how did you feel about the service you received today?","Q2. How could we improve this service?","Q3. What Licensing task did you need to carry out today?","Q4. How easy was it to complete this task?","Q5. If you found it fairly or extremely difficult to complete this task, please could you say why this was?"
"48116686","14","","","","","14/11/2016 14:25:00","14/11/2016 14:31:00","Dissatisfied","The data that is provided is exactly what we require for checking valid O Licences. However, we have to print these off for storage for validity checks, and unfortunately it now prints over 3 pages, whereas with a bit of work could be formatted to print on 1 page. The old prints were 2 pages (one with valid to date, and other with operating centres etc) ","Find licensing information","Very easy",-
"48117069","15","","","","","14/11/2016 14:30:00","14/11/2016 14:31:00","Very dissatisfied","Revert to the original system that was much more user friendly","Sign in to my existing account","Extremely difficult","Poor communication on old site directing to the new site"
"48117103","16","","","","","14/11/2016 14:30:00","14/11/2016 14:31:00","Very satisfied","Making it easier to view application information so that all amendments can be seen. And the ability to review an application before confirmation","Make changes to my existing Operator’s Licence","Very easy",-
"48117465","17","","","","","14/11/2016 14:36:00","14/11/2016 14:36:00","Neither satisfied nor dissatisfied","Make it more user friendly","Sign in to my existing account","Neither easy nor difficult",-
"48117507","18","","","","","14/11/2016 14:36:00","14/11/2016 14:37:00","Neither satisfied nor dissatisfied","The documents list could do with having dates against them so you can see when they're from instead of having to open them up. ","Sign in to my existing account","Extremely easy",-
"48117663","19","","","","","14/11/2016 14:38:00","14/11/2016 14:39:00","Very satisfied","VEHICLE LIST IN ALPHABETICAL ORDER","Make changes to my existing Operator’s Licence","Extremely easy",-
"48117870","20","","","","","14/11/2016 14:41:00","14/11/2016 14:42:00","Satisfied","will feedback after more use","Find licensing information","Very easy",-
"48117868","21","","","","","14/11/2016 14:41:00","14/11/2016 14:42:00","Very dissatisfied","Restore the functionality to enable services to be made of ALL registration activity by Traffic Area by day.","Bus registrations","Extremely difficult","Because the previous functionality has been removed!!"
"48118261","22","","","","","14/11/2016 14:48:00","14/11/2016 14:50:00","Satisfied","I work for an Asset Finance Company and need to check only that an Operated has a valid O License. I felt a little confused by the number of hits when I search a business which appeared to be giving the full A&D history. It would perhaps be easier to navigate if the latest license details were at the top and the other info then ran in date order.","Find licensing information","Neither easy nor difficult",-
"48118167","23","","","","","14/11/2016 14:46:00","14/11/2016 14:50:00","Very dissatisfied","The old http://www.tan.gov.uk/tanen/VOSA_SelfServiceOpBusRegSearch_New.asp was not broken and did not need 'improving'. You've removed ALL of the functionality of the old version and replaced it was something that isn't vaguely user friendly. Please bring back the option to check for bus registration changes by date and region.  I'm not at all impressed by this dogs dinner of an update. ","Bus registrations","Extremely difficult","Please see my last comment. If you aren't an industry insider, you will not know a bus company's licence number or their trade name. Please bring back the far superior functionality of the old website."
"48118444","24","","","","","14/11/2016 14:50:00","14/11/2016 14:51:00","Dissatisfied","Making the log on to the site simpler","Find licensing information","Neither easy nor difficult",-
"48118672","25","","","","","14/11/2016 14:53:00","14/11/2016 14:55:00","Satisfied","I would like to see date information against the documents, and/or the ability to sort them into date order.","Make changes to my existing Operator’s Licence","Very easy",-
"48118669","26","","","","","14/11/2016 14:53:00","14/11/2016 14:56:00","Satisfied","Layout is different but overall it works well","Make changes to my existing Operator’s Licence","Neither easy nor difficult",-
"48118782","27","","","","","14/11/2016 14:55:00","14/11/2016 14:57:00","Very dissatisfied","Return to old system. You used to be able to see all recent changes rather than have to hunt through each and every operator or service list to try and recognise changes. Typical government action- change for sake of change.","Bus registrations","Extremely difficult","Because instead of being presented with the information (changes) as one single list I now have to trawl through all the operator/ bus lists to look for changes. Please don't ask me the same question a third time."
"48119643","28","","","","","14/11/2016 15:07:00","14/11/2016 15:07:00","Very satisfied","its very much improved ","Sign in to my existing account","Extremely easy",-
"48119538","29","","","","","14/11/2016 15:05:00","14/11/2016 15:08:00","Neither satisfied nor dissatisfied","How do you search for all bus service applications registered on a specific date.","Sign in to my existing account","Neither easy nor difficult",-
"48119535","30","","","","","14/11/2016 15:05:00","14/11/2016 15:08:00","Satisfied","KEEP COMMUNICATING","Make changes to my existing Operator’s Licence","Very easy",-
"48119887","31","","","","","14/11/2016 15:09:00","14/11/2016 15:11:00","Very satisfied","I do not think that is needed.","Find licensing information","Extremely easy",-
"48119131","32","","","","","14/11/2016 15:00:00","14/11/2016 15:11:00","Satisfied","Not clear on what the implications are of some actions. Do not understand the tick box. Better explanation would be good.","Make changes to my existing Operator’s Licence","Very easy",-
"48120146","33","","","","","14/11/2016 15:13:00","14/11/2016 15:13:00","Very satisfied","Having a print function on the page.","Sign in to my existing account","Extremely easy",-
"48120300","34","","","","","14/11/2016 15:14:00","14/11/2016 15:15:00","Very satisfied","Asset type would be helpful ","Find licensing information","Extremely easy",-
"48120505","35","","","","","14/11/2016 15:17:00","14/11/2016 15:17:00","Very satisfied","Good as it is.","Make changes to my existing Operator’s Licence","Very easy",-
"48120427","36","","","","","14/11/2016 15:16:00","14/11/2016 15:18:00","Very dissatisfied","What has happened to daily list of changes? Have to search by operator every day instead of just looking at a list of amendments. - Very disappointing, it's unusable for its purpose.","Bus registrations","Extremely difficult","I need to see daily changes of the area, not per operator."
"48120197","37","","","","","14/11/2016 15:13:00","14/11/2016 15:19:00","Satisfied","the new format could be more user friendly by having tips or a help page such as explaining where to look for some items for instance how to remove a vehicle from the existing list, also the need to submit a new password was unnecessary.","Sign in to my existing account","Fairly difficult ","had to change password"
"48120677","38","","","","","14/11/2016 15:19:00","14/11/2016 15:22:00","Dissatisfied","Make ""Print this page"" possible. Differentiate between  LGV & PCV users. ","Find licensing information","Fairly difficult ","Couldnt isolate PCV users from LGV users"
"48121024","39","","","","","14/11/2016 15:23:00","14/11/2016 15:24:00","Dissatisfied","Enable a search option by service number.  Provide access to a list of all registrations, in reg order.","Find licensing information","Neither easy nor difficult",-
"48120941","40","","","","","14/11/2016 15:22:00","14/11/2016 15:27:00","Dissatisfied","We hold multiple licences , there do not appear to be an option to transfer a vehicle from one licence to the other . It good that we can export vehicles , however it would be an improvement if as a multiple licence holder we could export vehicles for all licences in one file  with the licence number beside each vehicle. ","Sign in to my existing account","Neither easy nor difficult",-
"48121513","41","","","","","14/11/2016 15:29:00","14/11/2016 15:30:00","Very dissatisfied","Not locking people out","Sign in to my existing account","Extremely difficult","Locked out"
"48121590","42","","","","","14/11/2016 15:30:00","14/11/2016 15:31:00","Very satisfied","It is excellent!","Make changes to my existing Operator’s Licence","Extremely easy",-
"48121569","43","","","","","14/11/2016 15:30:00","14/11/2016 15:31:00","Very satisfied","Still new so cannot really comment on this yet, saying that a pdf copy of the licences would be better instead of a word version","Make changes to my existing Operator’s Licence","Extremely easy",-
"48121703","44","","","","","14/11/2016 15:32:00","14/11/2016 15:32:00","Very dissatisfied","return back to old format","Find licensing information","Neither easy nor difficult",-
"48121629","45","","","","","14/11/2016 15:31:00","14/11/2016 15:33:00","Satisfied","A way to change and  Inform the DVLA, DVSA and everyone when Cherished Number plates are added.  The Process seems very disjointed and slow at the moment.   - I'm looking forward to seeing this site develop.","Sign in to my existing account","Extremely easy",-
"48121906","46","","","","","14/11/2016 15:34:00","14/11/2016 15:35:00","Very satisfied","Seems simple to use","Find licensing information","Extremely easy",-
"48121907","47","","","","","14/11/2016 15:34:00","14/11/2016 15:35:00","Very satisfied","Don't think you can","Find licensing information","Very easy",-
"48121852","48","","","","","14/11/2016 15:34:00","14/11/2016 15:36:00","Neither satisfied nor dissatisfied","The process for moving vehicles between traffic areas was much simpler on the old system, adding the option to transfer vehicles instead of having to delete them and then add them to a different licence would be better.","Make changes to my existing Operator’s Licence","Neither easy nor difficult",-
"48122091","49","","","","","14/11/2016 15:37:00","14/11/2016 15:37:00","Very satisfied","n/a","Sign in to my existing account","Extremely easy",-
"48121962","50","","","","","14/11/2016 15:35:00","14/11/2016 15:38:00","Very satisfied","I'd like the option to see which authorised user made the vehicle additions and removals. - Can it refer to Domestic Log Books as Tachographs? - Is it possible to specify where blue discs are sent to instead of always going to the Head Office (to speed up distribution where a Group Business such as ours has everything to Head Office)?","Sign in to my existing account","Extremely easy",-
"48121948","51","","","","","14/11/2016 15:35:00","14/11/2016 15:39:00","Satisfied","The trailer section could be laid out and be able to carry out the same actions as you can with vehicles, ie quick search button and be able to transfer between licences instead of deleting from one they waiting until the next day to put it on the required licence","Make changes to my existing Operator’s Licence","Extremely easy",-
"48122495","52","","","","","14/11/2016 15:43:00","14/11/2016 15:45:00","Very dissatisfied","When a search is made, it would be helpful to see the status in the results rather than having to look at each result to see if the licence is still valid","Find licensing information","Extremely difficult","As per the previous answer, having a filter to select valid, revoked, refused is much more useful"
"48122486","53","","","","","14/11/2016 15:43:00","14/11/2016 15:47:00","Very dissatisfied","restore all registrations for the day.Aasking for specification of service number, starting point etc makes it totally useless","Bus registrations","Extremely difficult","The previous system showed all activity on the day at a glance.  Obtaining this information now is tedious in the extreme."
"48122496","54","","","","","14/11/2016 15:43:00","14/11/2016 15:47:00","Very dissatisfied","The new find an operator service does not differentiate between bus and lorry operators, therefore if you put a location in to search by you get both bus and lorry. I would guess there are very few people who would wish to see a list of bus and lorry operators, usually one or the other. Please add an additional option to search for bus or lorry, this was available on the previous system","Find licensing information","Extremely difficult","Please see my previous comment with regards to bus and lorry operators"
"48122663","55","","","","","14/11/2016 15:45:00","14/11/2016 15:47:00","Very dissatisfied","just return it to back to how it was. Much easier to see which is the current licence and we don't need to know if they have previous licences. - Also - it would be good to have a filter which allows a user to see individual fleet sizes in order of size / by geographical area","Find licensing information","Neither easy nor difficult",-
"48123201","56","","","","","14/11/2016 15:53:00","14/11/2016 15:55:00","Very dissatisfied","Disappointing to have to trawl through HGV operators when only looking for PCV operators. Is there something I'm missing?","Bus registrations","Extremely difficult","No split between PCV & HGV"
"48123351","57","","","","","14/11/2016 15:55:00","14/11/2016 15:56:00","Very satisfied","It's ideal","Make changes to my existing Operator’s Licence","Extremely easy",-
"48123271","58","","","","","14/11/2016 15:54:00","14/11/2016 15:56:00","Very dissatisfied","The old Vosa self service was better you could find who had registered every bus service for that day, the new one your not able to do this","Bus registrations","Extremely difficult","Could not find out what I wanted"
"48123535","59","","","","","14/11/2016 15:58:00","14/11/2016 15:59:00","Very satisfied","telephone numbers of the operators","Find licensing information","Extremely easy",-
"48123813","60","","","","","14/11/2016 16:02:00","14/11/2016 16:03:00","Neither satisfied nor dissatisfied","Make the printing of a vehicle list easier.","Make changes to my existing Operator’s Licence","Extremely easy",-
"48124176","61","","","","","14/11/2016 16:07:00","14/11/2016 16:08:00","Satisfied","Me again, the trailer section, you are unable to export to excel.","Make changes to my existing Operator’s Licence","Neither easy nor difficult",-
"48124294","62","","","","","14/11/2016 16:09:00","14/11/2016 16:12:00","Very dissatisfied","Previously it was possible to see a list of bus service registrations accepted by the Traffic Commissioners on particular dates, and to search a database of registrations using various search terms.  This was invaluable to us as a local authority.  The new facility is (so far as we can see) almost useless.","Bus registrations","Extremely difficult","Insufficient information available from the site.  The old site was excellent and met our needs, this one is almost useless."
"48124424","63","","","","","14/11/2016 16:12:00","14/11/2016 16:13:00","Very dissatisfied","I am a local authority and I am trying to download the most recent EBSR TXC files to import this into our system to enable us to upload this data to Traveline","Bus registrations","Extremely difficult","Please see previous comment"
"48124445","64","","","","","14/11/2016 16:12:00","14/11/2016 16:13:00","Satisfied","put back the ""print this page"" button that was on the old site","Find licensing information","Neither easy nor difficult",-
"48124466","65","","","","","14/11/2016 16:12:00","14/11/2016 16:13:00","Very satisfied","A few broken links, but site is new","Make changes to my existing Operator’s Licence","Very easy",-
"48124311","66","","","","","14/11/2016 16:10:00","14/11/2016 16:18:00","Very dissatisfied","This site has been changed for the worse - it is difficult to log on as the address is far too long - it is extremely difficult to negotiate and the headings are misleading. Why change a system that is working so well for such an enormously difficult one? - Will anyone take notice - doubtful !","Make changes to my existing Operator’s Licence","Extremely difficult","I have been engaged in Transport businesses for many years and found the original Operators' Licensing site so easy to understand and complete.  what would have normally taken me some five minutes (or less) has taken the best side of half an hour. - This is change just for the sake of change."
"48124760","67","","","","","14/11/2016 16:17:00","14/11/2016 16:18:00","Dissatisfied","CAN WE HAVE THE DAILY REGISTRATIONS LINK BACK","Bus registrations","Very easy",-
"48125070","68","","","","","14/11/2016 16:22:00","14/11/2016 16:24:00","Very dissatisfied","Make it fit for purpose. - We applied to change our licence to 11 vehicles instead of 9. You have iuncreased the number of vehicles at an operating centre, but not increased the total. So Now WE have to submit another application, but I can't find where to do that. - ","Make changes to my existing Operator’s Licence","Extremely difficult","see above."
"48124945","69","","","","","14/11/2016 16:19:00","14/11/2016 16:25:00","Dissatisfied","Search codes by operator, town, post code please","Find licensing information","Fairly difficult ","It brings up too much information you don't need"
"48125518","70","","","","","14/11/2016 16:28:00","14/11/2016 16:30:00","Neither satisfied nor dissatisfied","Make it clearer to find files","Make changes to my existing Operator’s Licence","Neither easy nor difficult",-
"48126230","71","","","","","14/11/2016 16:39:00","14/11/2016 16:41:00","Neither satisfied nor dissatisfied","Reducing the font size to save paper when printing. - Is it necessary to retain licence details on the system for years after closure?","Find licensing information","Neither easy nor difficult",-
"48126711","72","","","","","14/11/2016 16:46:00","14/11/2016 16:54:00","Dissatisfied","PREVOIUS LAYOUT WAS BETTER EASIER TO SEARCH","Find licensing information","Fairly difficult ","THE SITE WAS HARD TO FIND IT NEEDS A DIRECT LINK"
"48127245","73","","","","","14/11/2016 16:55:00","14/11/2016 16:56:00","Very dissatisfied","Please reinstate the ability to search for registrations, amendments and cancellations by traffic area.","Find licensing information","Extremely difficult","You have moved everything and nothing seems to be the same"
"48127222","74","","","","","14/11/2016 16:55:00","14/11/2016 16:58:00","Very satisfied","very easy to use ","Make changes to my existing Operator’s Licence","Extremely easy",-
"48127296","75","","","","","14/11/2016 16:56:00","14/11/2016 16:58:00","Very dissatisfied","Unable to find PSV operator aplications etc accepted on a daily basis","Bus registrations","Extremely difficult","Cannot find the screen"
"48127544","76","","","","","14/11/2016 17:01:00","14/11/2016 17:02:00","Very dissatisfied","Separate truck and bus operators to search seperately","Find licensing information","Neither easy nor difficult",-
"48127454","77","","","","","14/11/2016 16:59:00","14/11/2016 17:03:00","Satisfied","I have been having difficulty changing the details of the transport on 3 x company O licences","Make changes to my existing Operator’s Licence","Neither easy nor difficult",-
"48127628","78","","","","","14/11/2016 17:03:00","14/11/2016 17:04:00","Very dissatisfied","Needs to show changes by date or able search by date & Traffic area ","Bus registrations","Extremely difficult","Poorly thought BETA website  Needs to bring back the old one and quick "
"48127756","79","","","","","14/11/2016 17:05:00","14/11/2016 17:06:00","Very satisfied","MUCH BETTER THAN THE OLD SITE , ","Find licensing information","Extremely easy",-
"48127771","80","","","","","14/11/2016 17:05:00","14/11/2016 17:06:00","Very satisfied",".","Sign in to my existing account","Extremely easy",-
"48128014","81","","","","","14/11/2016 17:11:00","14/11/2016 17:11:00","Very satisfied","Changes made very easily","Make changes to my existing Operator’s Licence","Extremely easy",-
"48128230","82","","","","","14/11/2016 17:16:00","14/11/2016 17:18:00","Neither satisfied nor dissatisfied","The new site for DVSA is good as there is more information, but the old search for either bus/coach or lorry was very useful in cutting down the number of entries to trawl through.  Will or can this be re-introduced to make the site even more efficient?","Find licensing information","Very easy",-
"48128045","83","","","","","14/11/2016 17:12:00","14/11/2016 17:18:00","Very dissatisfied","Revert to the old system, it was much more user friendly. It appears that you have joined the goods vehicle operator and bus operators databases  which makes searching for operators in a town or city very tedious. Local bus services registration be they new, cancelled or varied are impossible to find. No longer available for any speciofice date. The site it appears is now reserved for local authority or operator. The general public do not appear to have been considered in the revamp of the site. Local bus service registrations one submitted and accepted by to OTC are public documents and as such should be available for inspection soon after acceptance by the OTC. ","Find licensing information","Extremely difficult","SEE MY PREVIOUS COMMENTS"
"48128219","84","","","","","14/11/2016 17:15:00","14/11/2016 17:20:00","Dissatisfied","Provide an option to print off without having to export and invest into back office staff to work on excel pages to provide a presentable format, with the previous TAN-21 Self Service, you could print full current vehicles or those which have been removed, to aid a meeting or other research. This system requires an export process which can be time consuming. ","Make changes to my existing Operator’s Licence","Neither easy nor difficult",-
"48128582","85","","","","","14/11/2016 17:23:00","14/11/2016 17:25:00","Very satisfied","don,t know only just online","Sign in to my existing account","Very easy",-
"48128518","86","","","","","14/11/2016 17:22:00","14/11/2016 17:25:00","Very dissatisfied","Typical case of  the improvement  being totally  totally useless. Virtually none of previous functions are available, most important is  new, changed and cancellations  previously available by the day appear to have been dropped entirely. ","Bus registrations","Extremely difficult","="
"48128664","87","","","","","14/11/2016 17:26:00","14/11/2016 17:26:00","Very satisfied","Its a great improvement already","Sign in to my existing account","Extremely easy",-
"48128840","88","","","","","14/11/2016 17:29:00","14/11/2016 17:30:00","Very satisfied","N/A - ","Make changes to my existing Operator’s Licence","Extremely easy",-
"48129027","89","","","","","14/11/2016 17:34:00","14/11/2016 17:35:00","Dissatisfied","the old site was a lot easier to use ","Sign in to my existing account","Very easy",-
"48129041","90","","","","","14/11/2016 17:34:00","14/11/2016 17:35:00","Very dissatisfied","You've ruined it! Put it back to the way it was.","Bus registrations","Extremely difficult","I didn't manage to even complete the task I set out to do."
"48129286","91","","","","","14/11/2016 17:40:00","14/11/2016 17:42:00","Satisfied","I think that the new site will help a lot more that the old site","Sign in to my existing account","Very easy",-
"48129412","92","","","","","14/11/2016 17:43:00","14/11/2016 17:46:00","Very dissatisfied","Restore ability to see list of bus service registrations processed for a specified traffic area on a stipulated date.","Bus registrations","Extremely difficult","The Bus Registration Search facility by date appears to have been withdrawn. - "
"48129647","93","","","","","14/11/2016 17:49:00","14/11/2016 17:50:00","Dissatisfied","Return to using the previous system that seemed more than fit for purpose ","Find licensing information","Extremely difficult","."
"48131338","94","","","","","14/11/2016 18:19:00","14/11/2016 18:21:00","Very dissatisfied","re-provide a function to find bus service registrations received / approved etc.  How can I find if a service has changed if I have to enter every bus operator and service number one at a time just in case.","Bus registrations","Extremely difficult","I've just told you that. Your website no longer does what it used to do i.e. find all bus service registrations received etc."
"48131360","95","","","","","14/11/2016 18:19:00","14/11/2016 18:23:00","Very dissatisfied","Need to be able to see all grants to bus registrations not just those we know about, these are by default subject to the spelling mistakes and admin errors by the TC office.  Our smaller operators do not always inform us of changes, when we spotted them on the previous version of the Bus Registration daily grants page we could chase.  - Need to be able to see all notifications by traffic area.  - Need to be able to order the given result by date. - EBSR uploads – Where do we get the files to download from? - Could do with all my Authorities being accessed under one username/password, instead of 5 different ones. - ","Bus registrations","Extremely difficult","Largely useless search function."
"48131625","96","","","","","14/11/2016 18:24:00","14/11/2016 18:25:00","Very dissatisfied","Go back to before","Bus registrations","Extremely difficult","Couldn't get what I wanted"
"48131722","97","","","","","14/11/2016 18:27:00","14/11/2016 18:29:00","Dissatisfied","The operator search doesn't allow a choice of either lorry or bus operators, but shows both together, which is not convenient. The VOSA site gave this choice, and this choice should be provided in the new site.","Find licensing information","Neither easy nor difficult",-
"48131897","98","","","","","14/11/2016 18:31:00","14/11/2016 18:33:00","Very satisfied","N/A","Sign in to my existing account","Extremely easy",-
"48133109","99","","","","","14/11/2016 19:01:00","14/11/2016 19:02:00","Dissatisfied","New version prints out over 3 pages not 1 ... needs condensing to one page - tried to show too much info! Better multiple print options would be appreciated","Find licensing information","Neither easy nor difficult",-
"48133457","100","","","","","14/11/2016 19:09:00","14/11/2016 19:11:00","Very dissatisfied","LAYOUT NOT GOOD, SAME INFORMATION COMING UP ON DIFFERENT PAGES","Make changes to my existing Operator’s Licence","Extremely difficult","RUBBISH"
"48133754","101","","","","","14/11/2016 19:17:00","14/11/2016 19:20:00","Very dissatisfied","I am looking for the daily VOSA Registrations, Cancellations and Applications to PSV services and cannot locate.","Find licensing information","Extremely difficult","Could not find the relevant pages on website"
"48134957","102","","","","","14/11/2016 19:50:00","14/11/2016 19:51:00","Very dissatisfied","Allowing to search bus registration changes by date","Bus registrations","Extremely difficult","Cannot find the option to search registration changes by date"
"48135433","103","","","","","14/11/2016 20:04:00","14/11/2016 20:06:00","Dissatisfied","Old service was easier to search","Find licensing information","Extremely difficult","Can no longer search dates! "
"48135475","104","","","","","14/11/2016 20:05:00","14/11/2016 20:07:00","Very dissatisfied","i liked it as it was previously","Bus registrations","Extremely difficult","liked as it was before"
"48135602","105","","","","","14/11/2016 20:09:00","14/11/2016 20:13:00","Very dissatisfied","GO BACK TO THE OLD SERVICE","Make changes to my existing Operator’s Licence","Extremely difficult","IT WAS A VERY DIFFICULT SYSTEM TO USE WITH NO EASY LINKS OR HELP TO FIND ANYTHING"
"48135835","106","","","","","14/11/2016 20:16:00","14/11/2016 20:17:00","Very satisfied","NOT AT ALL","Make changes to my existing Operator’s Licence","Extremely easy",-
"48136316","107","","","","","14/11/2016 20:31:00","14/11/2016 20:35:00","Very dissatisfied","I am looking for new and changed bus registrations. This no longer seems to be an option on the menu. It seems that most things now require user registration. A disappointing development.","Bus registrations","Extremely difficult","See previous comment"
"48136751","108","","","","","14/11/2016 20:43:00","14/11/2016 20:46:00","Very dissatisfied","Go back to the old system.There was nothing wrong with it","Make changes to my existing Operator’s Licence","Extremely difficult","The system dose not give clear instruction or advice "
"48136865","109","","","","","14/11/2016 20:46:00","14/11/2016 20:47:00","Very dissatisfied","Making it like the old website where you could search for any bus registration, variation, and cancellation on a daily basis.","Bus registrations","Neither easy nor difficult",-
"48137677","110","","","","","14/11/2016 21:09:00","14/11/2016 21:11:00","Dissatisfied","Show daily alterations for all areas as before","Bus registrations","Fairly difficult ","Information hidden away"
"48138107","111","","","","","14/11/2016 21:22:00","14/11/2016 21:23:00","Very satisfied","Very clear and easy to use","Sign in to my existing account","Extremely easy",-
"48138663","112","","","","","14/11/2016 21:41:00","14/11/2016 21:44:00","Very dissatisfied","show us the link for route registration, changes and wwithdrawals for buses in each of the commissioners region - the old system was far easier to use and cannot find it on here.  t is definitely not crystal clear English and menu system is useless","Bus registrations","Extremely difficult","could not find the changes to bus routes, introduction of bus routes and withdrawal of bus routes for the north west region"
"48139872","113","","","","","14/11/2016 22:13:00","14/11/2016 22:14:00","Very dissatisfied","revert to old system, new system hopeless","Bus registrations","Extremely difficult","old system much easier"
"48140408","114","","","","","14/11/2016 22:29:00","14/11/2016 22:31:00","Neither satisfied nor dissatisfied","Find registered local bus services.  -  - Accessing on an iPhone. Trying to edit search, but the search option constantly collapsed, which stopped me from being able to edit my query.  -  - The menu button at the top-right when displayed on a mobile also doesn't work. I had to put my device into landscape for the feedback link to appear, which is what was presumably was behind the menu link. ","Find licensing information","Neither easy nor difficult",-
"48140702","115","","","","","14/11/2016 22:40:00","14/11/2016 22:41:00","Dissatisfied","I  miss the opportunity to select several search paremeters simultaneously as per former site - eg operator and service number - Why are registrations made by groups with a ""Section 22"" licence not included? They just as much registered local services as any other operated by an operator witha convenetional operator licence..  - Ability to see what has been registered on a given day was important for those wishing to get awareness of the latest registrations ((eg competitors ...)","Bus registrations","Very easy",-
"48141577","116","","","","","14/11/2016 23:20:00","14/11/2016 23:22:00","Very dissatisfied","Revert back to the original system   This just doesn't work !","Sign in to my existing account","Extremely difficult","Password not accepted three times  -  how do I apply for new green discs when there is no option for that ?"
"48145196","117","","","","","15/11/2016 05:44:00","15/11/2016 05:45:00","Very satisfied","No improvements needed the service is excellent","Sign in to my existing account","Extremely easy",-
"48145589","118","","","","","15/11/2016 06:23:00","15/11/2016 06:25:00","Very dissatisfied","On the old service, you could search by any new or variations to registrations for all operators for a certain area, this facility seems not to be there now.","Find licensing information","Extremely difficult","As the search is now not there for a certain area."
"48145871","119","","","","","15/11/2016 06:46:00","15/11/2016 06:49:00","Very satisfied","NO NEED TO IMPROVE THE NEW SERVICE IS BETTER THAN THE OLD ONE","Make changes to my existing Operator’s Licence","Very easy",-
"48146478","120","","","","","15/11/2016 07:21:00","15/11/2016 07:22:00","Satisfied","Some indication on the home page of where to go to perform what action would be good","Make changes to my existing Operator’s Licence","Very easy",-
"48146505","121","","","","","15/11/2016 07:23:00","15/11/2016 07:24:00","Very satisfied","Service satisfactory","Sign in to my existing account","Very easy",-
"48146698","122","","","","","15/11/2016 07:32:00","15/11/2016 07:32:00","Neither satisfied nor dissatisfied","Poor system for checking specific items. the old system was far better","Sign in to my existing account","Very easy",-
"48146766","123","","","","","15/11/2016 07:34:00","15/11/2016 07:37:00","Dissatisfied","Cannot access the system Rang yesterday and was told I should be able to access this in a hour (15.00hrs) Still cannot gain access","Make changes to my existing Operator’s Licence","Extremely difficult","Cannot access the system"
"48146979","124","","","","","15/11/2016 07:44:00","15/11/2016 07:45:00","Satisfied","Would need more time to assess","Sign in to my existing account","Very easy",-
"48147547","125","","","","","15/11/2016 08:03:00","15/11/2016 08:04:00","Very dissatisfied","Restore the previous facility to search bus registrations by date registered, by area, and search by operator","Bus registrations","Extremely difficult","New site much harder to navigate than old site, and functionality missing"
